MacBookPro11,2	2013	MacBook Pro Retina 15 Late 2013	apple-models	NOT_TESTED
MacBookPro11,2	2014	MacBook Pro Retina 15 Mid 2014	apple-models	NOT_TESTED
MacBookPro11,3	2013	MacBook Pro Retina 15 Late 2013	apple-models	NOT_TESTED
MacBookPro11,3	2014	MacBook Pro Retina 15 Mid 2014	apple-models	NOT_TESTED
MacBookPro11,4	2015	MacBook Pro Retina 15 Mid 2015	apple-models	NOT_TESTED
MacBookPro11,5	2015	MacBook Pro Retina 15 Mid 2015	apple-models	NOT_TESTED
MacBookPro16,1	2019	MacBook Pro 16 2019	apple-models	NOT_TESTED
MacBookPro16,4	2019	MacBook Pro 16 2019	apple-models	NOT_TESTED
MacBookPro17,1	2020	MacBook Pro 13 M1 2020	apple-models	NOT_TESTED
MacBookPro18,1	2021	MacBook Pro 16 2021	apple-models	NOT_TESTED
MacBookPro18,2	2021	MacBook Pro 16 2021	apple-models	NOT_TESTED
MacBookPro18,3	2021	MacBook Pro 14 2021	apple-models	NOT_TESTED
MacBookPro18,4	2021	MacBook Pro 14 2021	apple-models	NOT_TESTED
